Solution_ID,Text,Embedding
28,"Condenseur, Variation de la température de l'air ambiant en fonction des saisons, de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C.","[ 0.84714496 -0.7567213   1.4166368  ... -0.5102048  -0.6715233
 -0.05889978]"
29,"Condenseur, Nettoyage parfois difficile dans certaines configurations, de la consommation ponctuelle des compresseurs, Moins de risques de panne Encrassement très largement diminué Diminution des coûts d'écploitation Echange thermique amélioré (la vitesse de ventilation peut être diminuée)","[ 1.8081596  -0.6002201   1.1333066  ... -0.14543436 -0.56962174
 -0.6670436 ]"
30,"Condenseur, Augmentation de la durée de vie des ventilateurs des condenseurs à air.","[ 2.4619937  -0.70507765  1.4883759  ... -0.02551102  0.34132376
  0.36924297]"
31,"Maintenance, Action périodique à maintenir régulièrement, Dispositif peu couteux, amortissement rapide Evite la corrosion Amélioration du rendement de l'installation Installation simple dans tous types de système Pas de baisse de pression dans les conduites","[ 1.9866202  -0.04704404  0.6149242  ...  1.5432571  -0.30040452
  0.04331318]"
32,"Maintenance, de l'énergie frigorifique produite par la centrale froid","[ 2.4801347   0.12628461 -0.27509642 ...  0.44185904 -1.0334126
  1.1614149 ]"
33,"Chambre froide, ","[-1.0949218  -0.14234239 -0.31444806 ...  0.8674524  -2.2281702
  0.9783231 ]"
34,"Régulation, Augmentation de température parfois limité par les besoins des procédés., d'économie d'énergie sur la consommation du compresseur par °C supplémentaire, Amélioration du rendement du groupe frigorifique.","[ 1.8282431  -0.4824774   0.09858093 ...  0.06245839 -0.2372115
  0.42419463]"
35,"Régulation, L'action peut être limité par la technologie des détendeurs installés., de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Amélioration du rendement du cycle frigorifique","[ 1.5464503   0.04269895  0.6182508  ... -0.97625744 -0.37084866
 -0.31738365]"
36,"Climatisation, Nécessite la modification ou le remplacement des ventilateurs ou l'installation d'un variateur de vitesse Le débit ne doit pas être inférieur à la valeur réglementaire de 30m^3/h/pers Une maintenance plus strict peut être nécessaire pour éviter tout risque sanitaire dû à un air ambiant moins renouvellé, Conduit à un meilleur dimensionnement des ventilateurs et donc une consommation moindre Réduction de l'énergie à fournir pour refroidir l'air avant d'être soufflé dans le local Adaptation du taux d'air neuf à l'occupation réelle du bâtment ou à la saison","[ 0.7688334  -0.9034801   0.10051391 ... -0.01407789 -0.6695949
 -0.23757403]"
39,"Régulation, Evite la marche à vide des compresseurs Assure une sécurité de manoeuvre","[ 1.5316534   0.25687498 -0.77441514 ... -0.3335833   0.23717348
 -0.3664707 ]"
40,"Evaporateur, de la consommation totale","[ 3.5492063  -0.76696247  2.4943898  ... -1.1275369  -0.68382627
  0.04944248]"
41,"Condenseur, ","[ 2.338246   -0.5347511   1.4745547  ...  0.17207134 -0.77935976
  1.1918318 ]"
42,"Régulation, ","[ 0.34231818 -1.4186722   0.28337595 ... -1.0273651   0.12602282
 -0.31039697]"
43,"Gestion et pilotage, Coût initial élevé, qui dépend de la taille du système et de sa complexité. Instrumentation importante., Meilleure fiabilité des équipements Suivi des installations, pilotage à distance Optimisation de la maintenance","[ 1.6421976   0.98556703  0.45645905 ... -0.01848804 -0.00506429
 -0.62466556]"
44,"Meuble frigorifique, Faible coût Utilisation simple et sûre","[ 2.0434358  -0.13407683 -0.51505715 ...  0.6077274  -0.82187617
  0.25831088]"
45,"Récupération de chaleur, Une modification du groupe existant peut être nécessaire, Réduction du réseau vapeur et diminution des pertes associées","[ 2.562168    0.23473215  1.2852018  ...  0.64518535 -1.3224654
 -0.5175839 ]"
46,"Récupération de chaleur, Une modification du groupe existant peut être nécessaire, de la chaleur perdue est récupérable., Réduction du réseau vapeur et diminution des pertes associées","[ 3.0581932  -0.28840593  1.5843298  ...  0.6854739  -0.9510634
 -0.3057139 ]"
47,"Récupération de chaleur, La solution n'est pas applicable à tous les types de compresseurs.","[ 1.807646   -1.0883734   0.42232814 ...  1.1511167  -0.40338174
 -0.98921555]"
48,"Machines frigorifiques, COP < 1 (car prise en compte de l'apport de chaleur au régénérateur), Appareils supplémentaires (absorbeur, générateur et échangeur) Températures au bouilleur au moins de l'ordre de 80 à 85 °C, nécessite d'une source de chaleur (vapeur sur site par exemple), Plus de compresseur Installation de pompe avec un coût plus faible Consommation de pompe inférieure à celle d'un compresseur Fluide dont l'impact sur la couche d'ozone et sur l'effet de serre est nul","[ 1.9797314  -1.039039    0.7545372  ...  0.03519799 -0.6915937
  0.07922497]"
49,"Détendeur, ","[ 3.8185828  -0.11726055 -0.9258626  ...  1.6074159   0.06182751
  0.65842843]"
50,"Moteur, Campagne de mesure en période de charge des moteurs Moteurs parfois difficilement accessibles, de la consommation du moteur. Le gain varie selon la taille du moteur. Il est d'environ 1% pour les gros moteurs (qui peuvent fonctionner à rendement élevé pour des charges de 30%) et de 3% pour les moteurs plus petits dont le rendement se dégrade à partir de 75%., Diminution des marches à vide du moteur.","[ 2.036148    0.30971915  0.40742955 ...  0.97546756 -0.27563658
 -0.00691501]"
51,"Ajustement production/besoin, ","[ 1.259853   -0.42192352  1.1392239  ...  0.46084225  0.3140857
  1.0426279 ]"
54,"Moteur, de surcoût pour les moteurs d'une puissance supérieure à 20 kW, Sauf changement radical de technologie, les moteurs sont de même taille et ont une augmentation de poids d’environ 15 %., d'augmentation du rendement selon les puissance par rapport à la norme IE1, Anticipation des contraintes légales à venir. Gain sur la durée de vie du moteur.","[ 1.3669617   0.93056935  1.3708419  ...  0.8799391   0.7871095
 -1.5428345 ]"
55,"Transmission, Arrêt du moteur lors du changement La solution est peu rentable sur des moteurs usagés mais elle est à considérer lors de leur remplacement, de la consommation du sous système entrainé par le moteur, Optimisation du rendement du système moteur couplé à l'unité entrainée par le moteur.","[ 1.6262128   0.8283677   0.32982066 ...  0.23112424 -1.4150224
  0.35465333]"
56,"Régulation, de la consommation du sous système entrainé par le moteur","[ 0.82659256 -1.2404727   1.2487129  ... -1.1310174  -2.4513333
 -0.180607  ]"
57,"Moteur, Certains locaux contenant le moteur sont difficiles à ventiler Mise en place d'un système de ventilation naturelle ou mécanique peut être à prévoir, Augmentation de la durée de vie du moteur. Amélioration du rendement du moteur","[ 2.1230092   0.15068018  0.15265232 ...  0.3865866  -0.49493486
 -0.00523413]"
58,"Maintenance, Surcoût à l'investissement non négligeable., de la consommation électrique du moteur, Anticipation sur les contraintes légales à venir",[0.5453195  0.97528607 0.2763318  ... 0.3425968  0.6979444  0.72280484]
59,"Maintenance, Amélioration du rendement et de la durée de vie du moteur en réduisant les pertes par frottement Protection contre l'oxydation et la corrosion","[ 2.249436   -0.3081294   1.871332   ...  0.36418703  0.8210254
  0.16195792]"
60,"Transmission, de diminution des pertes au niveau de la transmission","[ 2.2604089   0.5872934  -0.20850992 ... -1.471523   -0.56183445
 -0.82936406]"
61,"Maintenance, Perte de rendement du moteur possible, de la consommation électrique du moteur., Investissement limité","[ 2.0382574   0.794641    1.0992221  ...  1.3528453   0.43328485
 -0.04621995]"
62,"Transmission, Si l’entretien des éléments de transmission (arbres, courroies) est négligé, les pertes peuvent aller de 0 à 45%., de la consommation électrique du moteur","[ 2.3346825  -0.23478198  0.2408477  ...  0.58144325 -0.29878336
  0.13619702]"
63,"Régulation, de la consommation ponctuelle de la pompe selon la charge","[ 1.3964077  -0.805267    0.23979576 ... -0.7319571  -1.1040472
 -0.06676916]"
64,"Pompe de surpression, de la consommation annuelle de la pompe","[ 3.430586   -1.1832457   0.49023533 ...  0.2992184  -0.6889037
  0.25258863]"
65,"Régulation, Necessité de modifier le réseau de conduits Etude préalable afin de déterminer les besoins réels de pompage Installation de capteurs à des endroits stratégiques afin de connaître le besoin réel Adaptation des puissances des pompes en cas de passage de pompe en série en parallèle, Réduction de la consommation énergétique puisque les pompes démarrent en fonction du besoin Augmentation de la durée de vie des pompes en ne les faisant fonctionner que lorsque c'est nécessaire Meilleur gestion des pics de demande","[ 1.9187216  -0.96927786 -0.04680449 ...  0.90437895 -0.31942794
 -0.48640826]"
66,"Mesure et comptage d’énergie, Investissement plus important pour des appareils résistants aux conditions extrèmes (chaleur, froid, humidité ...) ou nécessitant une acquisition numérique Choix pertinent des lieux de mesure, Connaissance de l'état du réseau, de l'évolution des pertes de charge dans le réseau et des besoins Gestion facilité et anticipation possible des problèmes sur le réseau Identification plus facile des points à optimiser","[ 1.4339038  -0.35556284  0.38331914 ...  0.90897423  0.40271965
  0.04532607]"
67,"Ajustement production/besoin, ","[ 1.259853   -0.42192352  1.1392239  ...  0.46084225  0.3140857
  1.0426279 ]"
68,"Réseau, Mise hors service du réseau éventuelle, Les gains dépendent de la longueur de réseau qui a été retiré., Réduction des pertes de charge Diminution du besoin en pompage Réduction éventuelle de l'encombrement","[ 2.4062247   0.10920602  1.7644733  ...  0.48682323 -0.68947774
 -0.4175794 ]"
69,"Réseau, ","[ 2.0837967   0.0729962   1.8632811  ...  2.060058   -1.9778464
  0.82063663]"
70,"Pompe, de la consommation de la pompe, Fonctionnemment des pompes proche de leur rendement optimum.","[ 3.6683283  -1.6149378  -0.7037579  ...  0.90949076 -0.32477552
 -0.63073844]"
71,"Réseau, Le coût de la campagne de détection et des réparations dépendra de la taille et de l’état de l’installation, Il est recommandé d’effectuer une détection des fuites lorsque les ateliers sont à l’arrêt. Un programme de maintenance est conseillé pour garder le taux de fuite au plus bas L'investissement dans un appareil à ultrason peut être nécessaire pour la détection des fuites, Réduction de la consommation des pompes du réseau Diminution de la pression de fonctionnement","[ 2.0496347  -0.26311004  0.27882275 ... -0.27809966 -0.5068511
  0.07307363]"
72,"Maintenance, Certaines pompes peuvent être difficiles d'accès rendent la vérification ardue, Augmentation de la durée de vie des pompes Anticipation des problèmes avant qu'ils ne deviennent irréversibles (casse de la pompe)","[ 2.1106067  -0.3453813   0.5114242  ...  1.0866507   0.28369656
  0.07681374]"
73,"Pompe, Campagne d'analyse du dimentionnement des pompes nécessaire avant la mise en place de la solution, de la consommation de la pompe, Adaptation de la consommation de la pompe au besoin réel du réseau","[ 1.9943595  -1.2411388  -0.8412401  ...  0.74449867 -0.47875395
 -1.360221  ]"
74,"Pompe, de la consommation de la pompe","[ 3.0234077  -1.6123254  -0.44374642 ...  0.6831676  -1.1250521
 -0.57542145]"
75,"Ajustement production/besoin, Etude préalable nécessaire pour définir les besoins réels de l'installation Nécessite un réajustement si augmentation des pertes de charge après une modification du réseau Remplacement des pompes parfois nécessaire pour éviter un fonctionnement à vide, Diminution de la consommation des pompes du réseau Augmentation de la durée de vie des pompes et autres équipements du réseau Peut conduire à la suppression de pompes devenues superflues","[ 2.0583005  -0.9212753   0.79990214 ...  0.61447453 -0.3523327
 -0.38143373]"
76,"Réseau, Mise hors service du réseau afin de pouvoir le modifier Certaines canalisations sont difficiles d'accès (enfouissement, encombrement ...) Achat éventuel d'équipements de tuyauterie pour remplacer ceux existants., Réduction de la consommation des pompes Diminution du besoin en pompage","[ 1.7318853  -0.01375318  1.060768   ...  0.5840042  -1.2635714
 -0.0815095 ]"
77,"Réseau, Modification du réseau d'eau existant","[ 1.109439    0.13498232  0.26610297 ...  1.1806209  -2.4794047
  1.1134429 ]"
78,"Valorisation, Les investissements nécessaires pour les systèmes fonctionnement au biogaz sont encore importants. La production de biogaz entraîne des coûts d'exploitation importants., L'utilisation de biogaz permet de manière indirecte de soutenir la valorisation des déchets, de l'imiter leur impact environnemental en évitant les émissions de Gaz à Effet de Serre (GES) dans l’atmosphère, et en valorisant leur potentiel énergétique. L'utilisation de biogaz permet de diminuer la dépendance aux énergies fossiles. Le digestat, résidu de la méthanisation, peut être valorisé en aval comme compost ou engrais naturel. Son utilisation permet alors d'éviter l'utilisation d'engrais chimiques. La combustion de biogaz pemet de diviser par 2 les émissions sonores du moteur et d'atténuer ses vibrations.","[ 1.3763204  -0.00811273  0.2674848  ...  1.4825234   0.4000849
 -1.1813111 ]"
79,"Régulation, ","[ 0.34231818 -1.4186722   0.28337595 ... -1.0273651   0.12602282
 -0.31039697]"
80,"Gestion et pilotage, de la consommation propre du système","[ 2.5237138  -1.004146    1.2982222  ... -0.19501624 -0.9241297
 -0.06736594]"
81,"Gestion et pilotage, Le bon type d'automatisation pour adapter le besoin est à réfléchir en amont., Limitation des gaspillages d'énergie","[ 2.2446206   0.12664925 -0.25319043 ...  0.49356824 -0.26919773
 -0.48440012]"
82,"Réseau, L'investissement dépend de la taille du réseau mais reste marginal. Il se limitera à l'achat éventuel d'équipements de tuyauterie pour remplacer ceux existants., Mise hors service du réseau afin de pouvoir le modifier Certaines canalisations sont difficiles d'accès (enfouissement, encombrement ...), de la consommation propre du système, Réduction du débit de soufflage nécessaire Diminution de la consommation des ventilateurs","[ 1.3659064   0.37704837  0.6991022  ...  0.19579081 -1.0258
 -0.47460753]"
83,"Ventilateur, de la consommation propre du ventilateur","[ 1.1861112  -0.7137324   0.17566277 ...  0.16982614 -1.2527467
  0.93648547]"
84,"Ventilateur, Modification du système en place. L'accouplement direct du moteur au ventilateur n'est pas toujours possible. Désacouplement du moteur au ventilateur plus compliqué qu'avec des courroies., de la consommation propre du ventilateur. La consommation est variable e fonction de la puissance du ventilateur. Le gain min est pour ceux de puissance importante, le gain max pour ceux de petite puissance.","[ 1.7227232  -0.37597218  0.0540046  ...  0.358018   -0.81052816
 -0.02535591]"
85,"Ventilateur, de la consommation propre du ventilateur","[ 1.1861112  -0.7137324   0.17566277 ...  0.16982614 -1.2527467
  0.93648547]"
86,"Gestion et pilotage, ","[ 2.2236829  -0.8104685   0.6799464  ...  0.6204256  -0.33632445
 -1.3060076 ]"
87,"Réseau, ","[ 2.0837967   0.0729962   1.8632811  ...  2.060058   -1.9778464
  0.82063663]"
88,"Gestion et pilotage, ","[ 2.2236829  -0.8104685   0.6799464  ...  0.6204256  -0.33632445
 -1.3060076 ]"
89,"Maintenance, ","[-0.15292096  1.0839077  -0.9549962  ... -0.36191922  0.16161466
  1.2762885 ]"
90,"Maintenance, ","[-0.15292096  1.0839077  -0.9549962  ... -0.36191922  0.16161466
  1.2762885 ]"
91,"Réseau, de la consommation propre du ventilateur","[ 2.9934824  -1.2129586   0.93318313 ...  0.8761944  -1.1614453
  0.4864564 ]"
92,"Ventilateur, de la consommation du ventilateur selon les puissances.","[ 1.4391621  -1.0800124   0.36120483 ... -0.27670315 -1.475212
  0.7290959 ]"
93,"Ajustement production/besoin, de la consommation de l'appareil suite à une réduction de débit de 20%.","[ 1.9331683  -0.7134267   1.1995304  ... -1.4885902  -0.1713361
  0.37500203]"
94,"Ajustement production/besoin, sur la consommation du chauffage.","[ 1.1943297  -0.8884664   1.1738346  ...  0.30138624 -0.15486285
  0.90765953]"
95,"Récupération de chaleur, de la consommation ponctuelle de l'unité","[ 3.8665547  -0.90672296  1.8519181  ...  0.69002515 -0.6298986
  0.9173391 ]"
97,"Isolation, L’investissement initial est important. Les temps de retour sur investissements sont souvent supérieurs à 10 ans. En plus des coûts des matériaux, il faut prévoir des frais supplémentaires pour la main d’œuvre. Les travaux sont souvent longs., Gain sur la consommation d’énergie primaire par la réduction des besoins en chauffage et en climatisation. Meilleur confort thermique été comme hiver. L’isolation thermique peut apporter une isolation acoustique supplémentaire.",[0.74758965 0.22959843 0.46201336 ... 1.4391742  0.06420041 0.3627179 ]
99,"Etanchéité et infiltrations, Les infiltrations d'air représentent 14 à 18 % de la consommation énergétique d'un bâtiment., Réduction du chauffage en hiver et de la climatisation en été.","[ 1.4644009  -0.53939074  0.13076484 ...  0.12744595 -0.00991663
  0.41815665]"
100,"Etanchéité et infiltrations, Composante comportementale de la part des équipes de la logistique., Diminution des courants d’air ; Diminution du brassage des polluants.","[ 1.9687928   0.19508292  1.2742459  ...  0.08323016 -0.9536808
 -0.35557738]"
102,"Climatisation, Solution tributaire du comportement des usagers Redisposition du local parfois difficile, Diminution de la température de la pièce Diminution du temps de fonctionnement du climatiseur et donc de sa consommation","[ 0.5104933  -0.35696328  0.7167923  ... -0.16702934 -1.3320593
 -0.7437234 ]"
103,"Climatisation, Solution dépendante du comportement des usagers, Réduction de la consommation des radiateurs en hiver ou de la climatisation en période chaude Amélioration du confort thermique de la pièce","[ 0.88998395 -0.09702685  1.1443629  ...  0.40148574 -1.8382789
  0.09492557]"
104,"Récupération de chaleur, Prix deux fois supérieur à une PAC basse pression, Expertise conseillée avant installation, afin de savoir s'il s'agit d'une solution pertinente, Peut chauffer de l'eau jusqu'à une température de 80 °C à partir d'une température extérieur de 20°C. COP compris entre 3 et 5 Facilité d'installation sur le réseau","[ 2.4003012  -0.2594011   0.01787331 ...  0.25737178 -0.55208504
  0.02221107]"
105,"Chauffage, Installation de chauffage radiant ( moyenne de : 230-450 €), plus chers que des convecteurs Réduction de température dans les zones non occupées : dépend du confort thermique désiré et du comportement des usagers, Meilleur confort thermique Consommation électrique plus faible Installation simple, peu d'encombrement","[ 0.52465814  0.42086443  0.05591302 ...  1.154991   -1.4207107
  0.16910931]"
108,"Chauffage, La baisse de la consigne est limité par le confort du personnel., de diminution de la puissance thermique par degré abaissé sur la consigne","[-0.1720551   0.9064664  -0.17560402 ... -0.00250883 -1.7834103
  0.63753986]"
109,"Climatisation, Parfois nécessaire de passer par une société spécialisé, de la consommation électrique si la maintenance est effectuée correctement., Coût de maintenance réduit Augmentation de la durée de vie du système Efficacité accrue","[ 1.3071678  -0.33039418  1.5103573  ...  0.01418507 -0.2707069
  0.06490451]"
110,"Climatisation, Mise en place d'une régulation sur l'apport d'air neuf à asservir à deux sondes de températures (intérieur et extérieur)., Diminution de la consommation du poste climatisation","[ 0.24914299 -0.12138879  0.80690765 ... -0.50798595 -0.9180354
 -0.8082149 ]"
111,"Condenseur, Une unité de filtration de l'eau pompé doit être ajoutée. Efficacité réduite en été et mi saison., Diminution de la consommation du poste climatisation Diminution des émissions de CO2.","[ 1.8453346  -1.7422605   1.9372572  ...  0.23842345 -0.79895395
  0.41573378]"
113,"Condensateur, de réduction du taux de flicker (variation de tension, clignotement), Diminution des pertes par effets Joules liées à la diminution du courant en amont des condensateurs. Suppression des pénalités. Réduit la puissance apparente appelée. Réduit le taux de flicker et améliore la qualité du réseau électrique.","[ 0.36221957 -0.5909428   1.3931118  ...  0.60790867 -0.124635
 -0.46694595]"
114,"Filtre, Modification possible de l'installation, de réduction des pertes par effet joules, Augmentation de la durée de vie des équipements Dépollution et rééquilibrage du réseau Respect des engagements contractuels auprès des fournisseurs énergétiques en matière de consommations","[-0.22938968  0.49195305  1.1970062  ...  0.02716971  0.19064586
 -0.00768948]"
115,"Réseau, ","[ 2.0837967   0.0729962   1.8632811  ...  2.060058   -1.9778464
  0.82063663]"
116,"Réseau, ","[ 2.0837967   0.0729962   1.8632811  ...  2.060058   -1.9778464
  0.82063663]"
117,"Réseau, ","[ 2.0837967   0.0729962   1.8632811  ...  2.060058   -1.9778464
  0.82063663]"
118,"Gestion et pilotage, ","[ 2.2236829  -0.8104685   0.6799464  ...  0.6204256  -0.33632445
 -1.3060076 ]"
120,"Transformateur, des pertes à vides","[ 3.0169225   0.23326305 -0.06523977 ... -0.49381903 -0.43935996
 -1.1599051 ]"
121,"Transformateur, ","[ 3.630227    1.015212   -1.0360565  ... -0.43734497 -1.8556805
 -1.8054097 ]"
122,"Transformateur, des pertes par effet Joule","[ 3.2894871  -0.7755195   0.4541247  ... -0.5227582  -0.91925967
 -1.3860118 ]"
123,"Armoire électrique, ","[ 1.055583   -0.06368764  0.9751717  ...  0.35761848 -2.891795
 -1.0822514 ]"
124,"Transformateur, ","[ 3.630227    1.015212   -1.0360565  ... -0.43734497 -1.8556805
 -1.8054097 ]"
125,"Transformateur, ","[ 3.630227    1.015212   -1.0360565  ... -0.43734497 -1.8556805
 -1.8054097 ]"
126,"Ajustement production/besoin, ","[ 1.259853   -0.42192352  1.1392239  ...  0.46084225  0.3140857
  1.0426279 ]"
127,"Maintenance, ","[-0.15292096  1.0839077  -0.9549962  ... -0.36191922  0.16161466
  1.2762885 ]"
128,"Armoire électrique, ","[ 1.055583   -0.06368764  0.9751717  ...  0.35761848 -2.891795
 -1.0822514 ]"
129,"Onduleur, d'augmentation du rendement et du facteur de puissance","[ 1.8882198  -0.33187798  1.3586662  ...  0.99691635  0.28633553
  0.01554695]"
130,"Gestion et pilotage, ","[ 2.2236829  -0.8104685   0.6799464  ...  0.6204256  -0.33632445
 -1.3060076 ]"
131,"Maintenance, ","[-0.15292096  1.0839077  -0.9549962  ... -0.36191922  0.16161466
  1.2762885 ]"
132,"Maintenance, ","[-0.15292096  1.0839077  -0.9549962  ... -0.36191922  0.16161466
  1.2762885 ]"
133,"Armoire électrique, ","[ 1.055583   -0.06368764  0.9751717  ...  0.35761848 -2.891795
 -1.0822514 ]"
134,"Ajustement production/besoin, ","[ 1.259853   -0.42192352  1.1392239  ...  0.46084225  0.3140857
  1.0426279 ]"
135,"Transformateur, ","[ 3.630227    1.015212   -1.0360565  ... -0.43734497 -1.8556805
 -1.8054097 ]"
136,"Régulation, ","[ 0.34231818 -1.4186722   0.28337595 ... -1.0273651   0.12602282
 -0.31039697]"
137,"Transformateur, ","[ 3.630227    1.015212   -1.0360565  ... -0.43734497 -1.8556805
 -1.8054097 ]"
138,"Transformateur, ","[ 3.630227    1.015212   -1.0360565  ... -0.43734497 -1.8556805
 -1.8054097 ]"
139,"Gestion et pilotage, ","[ 2.2236829  -0.8104685   0.6799464  ...  0.6204256  -0.33632445
 -1.3060076 ]"
140,"Ajustement production/besoin, ","[ 1.259853   -0.42192352  1.1392239  ...  0.46084225  0.3140857
  1.0426279 ]"
141,"Onduleur, ","[ 0.66012466 -0.7447201  -0.5413383  ...  0.39865437 -0.5163584
  2.3387592 ]"
142,"Stockage, ","[ 2.8282268   1.296728   -0.92266434 ...  1.0715289  -0.5038287
 -0.7802782 ]"
143,"Réseau, Modification du réseau d'air, de la consommation annuelle des compresseurs, Diminution nette des fuites entraînée par la baisse de pression du tronçon de réseau concerné.","[ 2.043659    0.09026966  0.29215795 ...  0.22075483 -0.56182635
  0.5220031 ]"
144,"Réseau, coût unitaire approximatif de l'horloge permettant la fermeture automatique d'une vanne., Diminution du taux de fuite. Diminution de la perte de charge du réseau.","[ 2.9517286   0.20707774  1.782815   ...  0.5681426   0.19805208
 -0.45016083]"
